,t,Q,TG,DG,MG,G,ME
215,107.5,5.0,0.08564606,0.10237357,0.08982918,0.374715,1.370555
216,108.0,5.0,0.085185304,0.10182461,0.08939627,0.37619716,1.3735602
217,108.5,5.0,0.08472955,0.1012817,0.08896823,0.37766403,1.3765348
218,109.0,5.0,0.0842789,0.10074487,0.088545084,0.37911588,1.3794792
219,109.5,5.0,0.083833024,0.10021393,0.088126525,0.38055265,1.3823936
220,110.0,5.0,0.083391935,0.0996888,0.08771275,0.38197473,1.3852782
221,110.5,5.0,0.08295579,0.0991697,0.08730382,0.38338202,1.3881338
222,111.0,5.0,0.08252442,0.09865627,0.08689934,0.38477504,1.3909607
223,111.5,5.0,0.08209756,0.098148525,0.08649957,0.38615358,1.393759
224,112.0,5.0,0.081675485,0.097646445,0.08610426,0.38751793,1.3965287
225,112.5,5.0,0.08125806,0.09715003,0.08571383,0.3888682,1.3992708
226,113.0,5.0,0.08084497,0.09665905,0.08532767,0.39020482,1.4019854
227,113.5,5.0,0.08043656,0.09617372,0.08494604,0.39152765,1.4046724
228,114.0,5.0,0.08003259,0.09569386,0.08456905,0.39283675,1.4073323
229,114.5,5.0,0.07963282,0.095219165,0.08419618,0.3941328,1.4099663
230,115.0,5.0,0.07923752,0.09474987,0.08382779,0.39541554,1.4125736
231,115.5,5.0,0.07884653,0.09428589,0.08346373,0.39668515,1.4151549
232,116.0,5.0,0.078459725,0.09382716,0.08310394,0.39794183,1.4177104
233,116.5,5.0,0.07807714,0.09337355,0.08274838,0.39918566,1.4202405
234,117.0,5.0,0.07769853,0.092925,0.082396954,0.40041703,1.4227457
235,117.5,5.0,0.07732417,0.09248155,0.08204959,0.40163586,1.425226
236,118.0,5.0,0.076953605,0.09204283,0.08170621,0.40284264,1.4276822
237,118.5,5.0,0.07658711,0.09160921,0.081367016,0.40403703,1.4301137
238,119.0,5.0,0.07622461,0.091180265,0.08103153,0.40521955,1.4325215
239,119.5,5.0,0.075865746,0.09075627,0.08070013,0.40639025,1.4349058
240,120.0,5.0,0.07551095,0.09033696,0.08037242,0.4075491,1.4372666
241,120.5,5.0,0.07515961,0.08992225,0.080048576,0.40869656,1.4396042
242,121.0,5.0,0.07481213,0.089512125,0.079728246,0.4098326,1.4419192
243,121.5,5.0,0.074468106,0.08910653,0.079411745,0.4109574,1.4442115
244,122.0,5.0,0.07412775,0.088705435,0.079098746,0.412071,1.4464817
245,122.5,5.0,0.07379106,0.08830872,0.07878928,0.41317365,1.4487299
246,123.0,5.0,0.07345773,0.08791633,0.07848328,0.4142654,1.450956
247,123.5,5.0,0.07312776,0.08752829,0.078180626,0.4153465,1.453161
248,124.0,5.0,0.07280125,0.08714442,0.07788131,0.41641706,1.4553446
249,124.5,5.0,0.07247792,0.08676456,0.07758528,0.4174771,1.4575073
250,125.0,5.0,0.07215786,0.08638877,0.07729238,0.41852707,1.4596492
251,125.5,5.0,0.07184106,0.08601718,0.07700269,0.41956657,1.4617704
252,126.0,5.0,0.07152729,0.085649386,0.07671602,0.42059624,1.4638717
253,126.5,5.0,0.07121667,0.08528562,0.07643242,0.4216158,1.4659522
254,127.0,5.0,0.07090898,0.08492561,0.07615173,0.42262563,1.4680133
255,127.5,5.0,0.0706045,0.084569335,0.075874016,0.4236258,1.4700546
256,128.0,5.0,0.070302725,0.08421673,0.07559897,0.42461646,1.4720767
257,128.5,5.0,0.07000381,0.08386777,0.07532671,0.4255976,1.4740796
258,129.0,5.0,0.06970793,0.08352248,0.07505721,0.4265694,1.4760631
259,129.5,5.0,0.06941475,0.08318052,0.074790224,0.42753202,1.478028
260,130.0,5.0,0.06912428,0.082842246,0.07452606,0.42848545,1.4799743
261,130.5,5.0,0.06883645,0.08250715,0.074264094,0.4294299,1.4819019
262,131.0,5.0,0.06855135,0.08217542,0.07400474,0.43036547,1.4838116
263,131.5,5.0,0.06826857,0.08184691,0.07374781,0.43129236,1.4857032
264,132.0,5.0,0.067988634,0.081521705,0.07349302,0.43221048,1.4875771
265,132.5,5.0,0.067711025,0.081199646,0.0732407,0.43311986,1.4894328
266,133.0,5.0,0.067435995,0.08088054,0.07299054,0.43402094,1.4912716
267,133.5,5.0,0.06716323,0.08056459,0.07274251,0.43491358,1.4930925
268,134.0,5.0,0.06689298,0.08025156,0.07249664,0.4357978,1.4948965
269,134.5,5.0,0.0666247,0.07994136,0.07225275,0.4366739,1.4966835
270,135.0,5.0,0.06635912,0.079634205,0.07201098,0.437542,1.498454
271,135.5,5.0,0.06609565,0.07932973,0.071771115,0.43840194,1.5002072
272,136.0,5.0,0.06583439,0.079028085,0.07153307,0.43925405,1.5019441
273,136.5,5.0,0.06557524,0.07872906,0.071296915,0.44009823,1.503665
274,137.0,5.0,0.06531815,0.07843271,0.071062624,0.44093466,1.5053692
275,137.5,5.0,0.06506333,0.07813899,0.07083021,0.44176346,1.5070577
276,138.0,5.0,0.064810395,0.07784785,0.07059935,0.4425846,1.5087302
277,138.5,5.0,0.064559534,0.07755922,0.07037029,0.44339824,1.510387
278,139.0,5.0,0.06431095,0.077273,0.07014276,0.44420448,1.5120281
279,139.5,5.0,0.06406404,0.0769892,0.069916904,0.44500327,1.513654
280,140.0,5.0,0.06381917,0.07670787,0.0696926,0.4457949,1.5152643
281,140.5,5.0,0.063576385,0.07642895,0.069469914,0.4465792,1.5168593
