,t,TG,DG,MG,G,ME,T
230,115.0,0.06848744475445266,0.08281213936541423,0.07204663506016115,0.43616760581997177,1.4946139339456521,48.08948873687516
231,115.5,0.06812862031002297,0.08235290168173219,0.07172228025201295,0.4373100227562317,1.4969332374544535,48.14755384991734
232,116.0,0.0677731619155279,0.08189879759710285,0.07140167427062445,0.4384401912167446,1.4992284267885858,48.205581049769755
233,116.5,0.06742103907092918,0.0814497647053147,0.07108476204305095,0.43955825918070496,1.5014997733335318,48.26357032213455
234,117.0,0.06707222153700533,0.08100574048068884,0.07077148855238598,0.4406643744299196,1.50374754787522,48.32152164794788
235,117.5,0.06672667970987942,0.08056666338556233,0.07046179986753745,0.44175868203702057,1.5059720162316994,48.37943501291189
236,118.0,0.0663843843897989,0.08013247233268071,0.070155642644454,0.44284132563306616,1.5081734415207877,48.4373104027287
237,118.5,0.066045306852005,0.0797031069620832,0.06985296439074304,0.44391244679516856,1.5103520831290753,48.49514780548341
238,119.0,0.06570941843300485,0.0792785066109584,0.06955371246728352,0.44497218748875306,1.512508201011785,48.55294720211221
239,119.5,0.06537669127779121,0.07885861241737414,0.06925783613591228,0.4460206851689222,1.5146420471959656,48.61070858546614
240,120.0,0.06504709755213273,0.07844336523237527,0.06896528450916112,0.4470580777063307,1.51675387436969,48.66843194124735
241,120.5,0.06472060970845452,0.07803270643016977,0.06867600734406652,0.448084501517309,1.5188439326702303,48.72611725515796
242,121.0,0.06439720055936606,0.07762657816847518,0.06838995530197546,0.4491000909701831,1.520912468682976,48.783764515283075
243,121.5,0.0640768432583532,0.07722492338481435,0.06810707994434585,0.4501049784124864,1.522959725510966,48.84137371209078
244,122.0,0.06375951101127798,0.07682768505560132,0.06782733296599434,0.45109929596712617,1.5249859458889692,48.8989448312832
245,122.5,0.06344517760004213,0.07643480769288477,0.06755066774552719,0.45208317196154574,1.526991366068577,48.95647786809439
246,123.0,0.06313381683315714,0.07604623584957788,0.0672770377765311,0.4530567345407337,1.5289762220248417,49.01397281299243
247,123.5,0.0628254024492415,0.07566191391197495,0.06700639643692585,0.4540201122018575,1.5309407503913999,49.07142964929646
248,124.0,0.06251990888589104,0.07528178828476012,0.06673869932445506,0.4549734285048936,1.5328851794483518,49.128848374623516
249,124.5,0.062217310578585545,0.07490580543322364,0.0664739021386592,0.4559168068495314,1.5348097372591372,49.186228981824655
250,125.0,0.06191758203813184,0.07453391214638658,0.06621196096153743,0.45685036985394395,1.536714650631294,49.243571461367964
251,125.5,0.06162069809328177,0.0741660562501981,0.06595283303946384,0.4577742376170561,1.5386001421802948,49.30087580848748
252,126.0,0.06132663388029634,0.07380218658773055,0.06569647675703436,0.45868852777493857,1.5404664304266158,49.35814202318321
253,126.5,0.06103536426317436,0.07344225139585328,0.06544284980660689,0.4595933595343653,1.5423137366121638,49.41537009354026
254,127.0,0.06074686447748951,0.07308620018121363,0.06519191131514504,0.46048884902615167,1.5441422768899595,49.47256001479267
255,127.5,0.060461110201180675,0.07273398391483892,0.06494362205983481,0.46137510882414545,1.5459522615069456,49.5297117917064
256,128.0,0.06017807691521429,0.07238555319908212,0.06469794234178847,0.462252252543915,1.5477439025144049,49.586825419515485
257,128.5,0.05989774044815597,0.07204085986601813,0.06445483385259429,0.4631203908332315,1.549517407070902,49.643900900602915
258,129.0,0.05962007658443028,0.07169985584375596,0.06421425833158288,0.46397963424023075,1.5512729822276148,49.700938232585706
259,129.5,0.059345061443471014,0.07136249427145573,0.06397617889018772,0.46483009039488543,1.5530108302364882,49.757937420229815
260,130.0,0.059072670947130854,0.07102872794719475,0.06374055814374952,0.4656718679619248,1.5547311551204688,49.814898458769285
261,130.5,0.05880288156515721,0.0706985115240451,0.06350736087114901,0.46650507103964856,1.5564341533852895,49.87182135773603
262,131.0,0.05853566964597862,0.07037179952398719,0.06327655157449147,0.4673298042555426,1.5581200224395986,49.92870611951304
263,131.5,0.05827101170827215,0.07004854721460466,0.06304809556589208,0.468146170511231,1.5597889568800825,49.985552748866255
264,132.0,0.058008884511134784,0.06972871080973629,0.06282195920956671,0.46895427046956206,1.5614411476375567,50.04236125532759
265,132.5,0.057749264766857294,0.06941224661071936,0.06259810884066773,0.46975420478175545,1.563076785637322,50.099131643663014
266,133.0,0.057492129564056735,0.06909911227082587,0.06237651236538101,0.4705460707997362,1.5646960564007975,50.15586392817039
267,133.5,0.05723745580764979,0.06878926510468047,0.0621571370958605,0.47132996699180907,1.5662991472718295,50.212558113615685
268,134.0,0.05698522070275004,0.06848266355547905,0.06193995164922161,0.47210598909254914,1.5678862411315704,50.269214211913784
269,134.5,0.056735401549077684,0.06817926655668333,0.06172492510588972,0.47287423178834914,1.5694575191335107,50.32583223497958
270,135.0,0.05648797587602771,0.06787903393389355,0.06151202753293357,0.47363478765714506,1.5710131589711964,50.38241219949392
271,135.5,0.056242921308994366,0.06758192598398606,0.061301229421899854,0.4743877482851196,1.5725533366831452,50.438954122137666
272,136.0,0.05600021550364607,0.0672879032714369,0.06109250142375667,0.4751332048011602,1.5740782275224316,50.49545801720868
273,136.5,0.0557598363424905,0.0669969272271866,0.06088581515477881,0.47587124627554395,1.575588003363377,50.5519239037708
274,137.0,0.05552176167688845,0.06670895934264719,0.06068114210351262,0.4766019618769516,1.577082836180528,50.60835179612189
275,137.5,0.05528596971137382,0.06642396235419314,0.06047845524831154,0.47732543768612135,1.578562892909181,50.66474171809173
276,138.0,0.0550524387516743,0.06614189943515474,0.06027772792719892,0.4780417588859719,1.580028338947469,50.72109369351012
277,138.5,0.054821147205460934,0.0658627341910906,0.06007893383833532,0.478751009765113,1.581479338163101,50.77740774620684
278,139.0,0.05459207345931411,0.06558643027150562,0.059882046510107506,0.47945327475907257,1.5829160545689391,50.83368389524571
279,139.5,0.05436519624678566,0.06531295252196848,0.05968704092529148,0.4801486353059542,1.5843386472904148,50.889922169222494
